customer_id,name,age,city,email,purchase_amount,rating
C040,Neha joshi  ,39,MUMBAI,customer40@example.com,22244.58,4
C041,KAVITA SHAH,48, CHENNAI,customer41@example.com,16769.8,5
C042,Neha joshi  ,58, BANGALORE,customer42@example.com,,4.5
C043,  rahul sharma,47,Delhi ,customer43@example.com,15439.44,4
C044,Neha joshi  ,47,MUMBAI,,20029.42,1
C045, pooja deshmukh,43, BANGALORE,customer45@example.com,11693.41,2
C046,ROHIT MEHTA,38,mumbai ,customer46@example.com,12909.42,5
C047,ROHIT MEHTA,48, CHENNAI,customer47@example.com,16167.72,3
C048,ROHIT MEHTA,48,mumbai ,customer48@example.com,21405.27,
C049,  arjun singh,54,MUMBAI,customer49@example.com,18136.27,4.5
C050,SNEHA KULKARNI ,58, pune,customer50@example.com,24812.56,4.5
C051,manish gupta ,58,,customer51@example.com,21258.52,3
C052,,40,  delhi,customer52@example.com,16460.7,1
C053,SNEHA KULKARNI ,43,  delhi,customer53@example.com,7416.89,2
C054,Neha joshi  ,39, pune,customer54@example.com,2838.6,1
C055,Neha joshi  ,24,  delhi,,23803.02,2
C056,manish gupta ,48,  delhi,customer56@example.com,,5
C057,  rahul sharma,unknown, CHENNAI,customer57@example.com,8813.94,5
C058,Neha joshi  ,56,Pune,customer58@example.com,19219.02,3
C059,  rahul sharma,23,  delhi,customer59@example.com,1395.49,3
C060,SNEHA KULKARNI ,58,hyderabad ,customer60@example.com,16139.77,2
C061,PRIYA PATIL ,42,  delhi,customer61@example.com,24996.03,1
C062,KAVITA SHAH,42,Pune,customer62@example.com,2661.07,4
C063,manish gupta ,23,hyderabad ,customer63@example.com,Rs.4064.97,4
C064,  arjun singh,48,  delhi,customer64@example.com,18202.7,
C065,,47,hyderabad ,customer65@example.com,20646.46,3
C066,KAVITA SHAH,49,Pune,,10011.87,1
C067,SNEHA KULKARNI ,22, pune,customer67@example.com,23338.98,2
C068,Neha joshi  ,47,,customer68@example.com,24379.11,3
C069,KAVITA SHAH,23, CHENNAI,customer69@example.com,15332.42,2
C070,ROHIT MEHTA,23,Delhi ,customer70@example.com,,1
C071,manish gupta ,31,hyderabad ,customer71@example.com,7914.55,1
C072,SNEHA KULKARNI ,47,  delhi,customer72@example.com,2404.66,2
C073,  arjun singh,30, pune,customer73@example.com,10437.87,4
C074, pooja deshmukh,31, Pune ,customer74@example.com,20917.38,2
C075,manish gupta ,29, CHENNAI,customer75@example.com,13077.22,4.5
C076,SNEHA KULKARNI ,unknown,MUMBAI,customer76@example.com,24013.6,1
C077,Neha joshi  ,47,MUMBAI,,18181.49,3
C078,,26,Pune,customer78@example.com,8966.77,5
C079,manish gupta ,58,mumbai ,customer79@example.com,6491.12,3
C080,  rahul sharma,44, pune,customer80@example.com,17488.52,
C081,KAVITA SHAH,26,mumbai ,customer81@example.com,14635.57,4
C082,manish gupta ,38,Delhi ,customer82@example.com,9208.94,2
C083,manish gupta ,53,Pune,customer83@example.com,1139.55,4
C084,  rahul sharma,47, Pune ,customer84@example.com,,2
C085,  rahul sharma,40,,customer85@example.com,15820.61,2
C086,  rahul sharma,28,Delhi ,customer86@example.com,7585.44,2
C087,Neha joshi  ,44,Delhi ,customer87@example.com,15560.23,5
C088,manish gupta ,55, CHENNAI,,19142.71,2
C089,  rahul sharma,21,MUMBAI,customer89@example.com,21044.96,4.5
C090, amit kumar,44,MUMBAI,customer90@example.com,2151.52,4.5
C091,,59, pune,customer91@example.com,10832.84,1
C092,KAVITA SHAH,23, pune,customer92@example.com,17717.31,5
C093,  arjun singh,41,mumbai ,customer93@example.com,5050.79,4
C094,  arjun singh,43,mumbai ,customer94@example.com,16816.12,2
C095,ROHIT MEHTA,unknown, BANGALORE,customer95@example.com,2732.97,1
C096, amit kumar,25, BANGALORE,customer96@example.com,22786.84,
C097, amit kumar,54,MUMBAI,customer97@example.com,3449.43,4.5
C098,manish gupta ,20,hyderabad ,customer98@example.com,,4.5
C099,KAVITA SHAH,52, CHENNAI,,4075.42,1
C100,  rahul sharma,23,  delhi,customer100@example.com,16334.59,5
C005,manish gupta ,44,hyderabad ,customer5@example.com,10820.97,4.5
C020, amit kumar,42,mumbai ,customer20@example.com,8537.57,2
C050,SNEHA KULKARNI ,58, pune,customer50@example.com,24812.56,4.5
C075,manish gupta ,29, CHENNAI,customer75@example.com,13077.22,4.5
C090, amit kumar,44,MUMBAI,customer90@example.com,2151.52,4.5
